Feature,Score
cat__Name_Kane & Lynch: Dead Men,0.0006287056490577037
cat__Name_Super Mario 64,0.0006285091102263829
cat__Publisher_Activision Value,0.0006282973859313978
cat__Name_Crash: Mind Over Mutant,0.0006228379022101826
cat__Publisher_Nordic Games,0.0006218223698933878
cat__Publisher_Playlogic Game Factory,0.0006184638930217812
cat__Publisher_Graffiti,0.0006144180227379836
cat__User_Score_4.4,0.0006140162335538379
cat__Publisher_Kalypso Media,0.0006089350037226104
cat__Publisher_Mastertronic,0.0006079298350397666
cat__Developer_2K Sports,0.0006070048804939221
cat__Name_Bakugan Battle Brawlers: Defenders of the Core,0.0006042060203158561
cat__Developer_Acclaim,0.0006036490708397624
cat__Developer_Square Enix,0.0006019653714738338
cat__Developer_Frame Studios Interactive,0.0006007931972362712
cat__Publisher_ASCII Entertainment,0.0005951143712233931
cat__Name_Grand Theft Auto V,0.0005933284452352972
cat__Publisher_JoWood Productions,0.0005908814160680009
cat__Publisher_System Soft,0.0005882142049273842
cat__Developer_Microids,0.000584419889363752
cat__Developer_Blitz Games,0.0005834317656190358
cat__Name_Call of Duty: Advanced Warfare,0.0005825838788819926
cat__Name_SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.0005821528555621791
cat__Publisher_UFO Interactive,0.0005786633015417708
cat__Developer_Griptonite Games,0.0005735026168087742
cat__Publisher_Focus Multimedia,0.000571338435165103
cat__Name_Star Wars The Clone Wars: Republic Heroes,0.0005691577807889203
cat__Developer_Gust,0.0005680730719210825
cat__Name_Mortal Kombat vs. DC Universe,0.000564660175238707
cat__Name_Chaotic: Shadow Warriors,0.0005645137682752654
cat__Developer_Zoo Games,0.0005626461991287135
cat__Publisher_Takara,0.0005600090218083054
cat__Developer_Legacy Interactive,0.000559974190503465
cat__Developer_Papaya Studios,0.0005598716889888555
cat__Platform_PS2,0.0005553469924901577
cat__Platform_GEN,0.0005540933352222721
cat__Publisher_Ocean,0.0005540158009154084
cat__Developer_Arc System Works,0.0005481437571563941
cat__Developer_FUN Labs,0.0005480148271554963
cat__Publisher_Conspiracy Entertainment,0.0005477799803225158
cat__Publisher_Popcorn Arcade,0.000542147481112476
cat__Name_MySims Kingdom,0.0005412984911845609
cat__Name_Guitar Hero III: Legends of Rock,0.0005410781145378518
cat__Developer_Sumo Digital,0.000540946784100993
cat__Publisher_Starfish,0.0005406413440526281
cat__Developer_Etranges Libellules,0.000540284149607162
cat__Publisher_Tru Blu Entertainment,0.0005367922458976437
cat__Name_Madden NFL 15,0.0005366199398030291
"cat__Developer_Image Epoch, Imageepoch",0.0005318669606141357
cat__Developer_Rainbow Studios,0.0005317392138006749
cat__Developer_FreeStyleGames,0.0005311304214047352
cat__Name_Dr. Mario,0.0005301158885425705
cat__User_Score_8.1,0.0005269232390657796
cat__Name_Clannad,0.0005263290114031483
cat__Name_Cars,0.0005216218747252643
cat__Publisher_Bigben Interactive,0.0005215622901728612
cat__Name_FIFA 15,0.0005206805171553697
cat__Publisher_Rising Star Games,0.0005204264230896927
cat__Name_Ben 10 Ultimate Alien: Cosmic Destruction,0.000518104951531928
cat__Name_Pirates of the Caribbean: At World's End,0.0005153088772804626
cat__Publisher_ASCII Media Works,0.0005148201282182407
cat__Name_Battlefield 4,0.0005134150732034604
cat__Platform_DC,0.0005130921260737553
cat__Developer_Powerhead Games,0.0005128356946906276
cat__Name_WWE SmackDown vs. Raw 2009,0.0005123397018728104
cat__Name_Need for Speed: Most Wanted,0.000510358316998305
cat__Publisher_FuRyu Corporation,0.0005093876920694296
cat__Developer_Rebellion,0.0005079473558275982
cat__Platform_WiiU,0.0005076996327937344
cat__Name_LEGO Dimensions,0.0005058144640710527
cat__Developer_SCE Santa Monica,0.000504322602048024
cat__Publisher_SNK,0.0005016688708633366
cat__Name_DreamWorks Super Star Kartz,0.000500555275670389
cat__Developer_GRIN,0.0004979250656952372
cat__Publisher_Aksys Games,0.000496280982316688
cat__Developer_Turn 10,0.0004954078900739622
cat__Name_Midnight Club: Los Angeles,0.0004948739670794788
