Feature,Importance
cat__Name_Pokemon Mystery Dungeon: Red/Blue Rescue Team,6.123103862546991e-08
cat__Name_Pure,6.09147402084936e-08
cat__Name_Virtua Fighter,6.078528041908151e-08
cat__Name_Super Mario Galaxy 2,6.059900949492996e-08
cat__Name_Crash Bandicoot,6.010668734107984e-08
cat__Name_The Magical Quest starring Mickey Mouse,5.976228324576868e-08
cat__Name_Professor Layton and the Last Specter,5.9430404009980225e-08
cat__Name_Sonic Rivals 2,5.86038369537002e-08
cat__Name_The Sims: Hot Date,5.8164375849941295e-08
cat__Name_Final Fantasy XII: Revenant Wings,5.780374266086983e-08
cat__Name_Mario Kart 7,5.778500446847744e-08
cat__Name_Onimusha: Warlords,5.763556411851939e-08
cat__Name_Crash Bandicoot 3: Warped,5.7175535952812595e-08
cat__Name_Mario & Luigi: Bowser's Inside Story,5.671114237657841e-08
cat__Name_Game Party 3,5.669233733367826e-08
cat__Name_Project Gotham Racing,5.65930604390434e-08
cat__Publisher_Microsoft Game Studios,5.6395229471744935e-08
cat__Name_Spyro the Dragon,5.591772494525104e-08
cat__Name_Pokémon Stadium 2,5.54933061460865e-08
cat__Platform_XB,5.520603886599169e-08
cat__Name_Nintendogs + cats,5.420000439410812e-08
cat__Developer_Konami,5.4189801134150746e-08
cat__Publisher_Parker Bros.,5.364654503529645e-08
cat__Name_Romancing SaGa 3,5.084680859050762e-08
cat__Name_Mahjong,4.9260254224385063e-08
cat__User_Score_6.4,4.1123221121833584e-08
cat__Name_Final Fantasy III,3.3444900280159854e-08
cat__Publisher_Sony Computer Entertainment Europe,3.095339571281158e-08
cat__Publisher_Sony Computer Entertainment,2.925826096701206e-08
cat__Name_Monster Hunter Freedom Unite,1.7693965184652684e-08
cat__Publisher_Palcom,1.762888864194686e-08
cat__Developer_Level 5,1.7204162563911713e-08
cat__Platform_PC,1.5001771550570546e-08
cat__Rating_M,1.3156037712426876e-08
cat__Name_Myst,1.0699979364376802e-08
cat__Developer_Equinoxe,1.0120327025050337e-08
cat__Name_Dragon Warrior III,5.6125013884565236e-09
cat__User_Score_5.4,5.5248199802462995e-09
cat__Developer_Blizzard Entertainment,1.432922261905976e-09
cat__Developer_Ubisoft Shanghai,1.4244817970999023e-09
cat__Developer_EA Canada,1.2817453437510845e-09
cat__Genre_Fighting,1.2494897503838355e-09
cat__Publisher_Konami Digital Entertainment,9.288411783926659e-10
cat__User_Score_4.3,6.213210515164141e-10
cat__User_Score_tbd,5.764838065896792e-10
cat__Name_The Sims 3,1.6159926728167546e-10
cat__Developer_Pocketeers,9.980007487960111e-11
cat__User_Score_7.1,1.8021263413401995e-11
cat__User_Score_6.1,1.3054801183740772e-11
cat__Name_Aliens versus Predator: Extinction,0.0
cat__Name_Aliens in the Attic,0.0
cat__Name_Alienators: Evolution Continues,0.0
cat__Rating_RP,0.0
cat__Rating_K-A,0.0
cat__Name_Alone in the Dark,0.0
cat__Name_Allied General,0.0
cat__Name_Alleyway,0.0
cat__Name_All-Star Baseball 99,0.0
cat__Name_All-Star Baseball 2005,0.0
cat__Name_All-Star Baseball 2004,0.0
cat__Name_All-Star Baseball 2003,0.0
cat__Name_All-Star Baseball 2002,0.0
cat__Name_All-Star Baseball 2001,0.0
cat__Name_All-Star Baseball 2000,0.0
cat__Name_All-Pro Football 2K8,0.0
cat__Name_All Star Tennis 99,0.0
cat__Name_All Star Pro-Wrestling,0.0
cat__Name_All Star Karate,0.0
cat__Name_All Star Cheer Squad 2,0.0
cat__Name_All Star Cheer Squad,0.0
cat__Name_Amatsumi Sora ni! Kumo no Hatate ni,0.0
cat__Name_Amagoushi no Yakata,0.0
cat__Name_Amagami,0.0
cat__Name_Alvin and the Chipmunks: The Squeakquel,0.0
cat__Name_Alvin and the Chipmunks: Chipwrecked,0.0
cat__Name_Alvin and the Chipmunks,0.0
cat__Name_Alundra 2: A New Legend Begins,0.0
cat__Name_Alundra,0.0
